company_id,date,trix,psar,ema_9
183,2010-01-04,,0.01,
183,2010-01-05,,0.01,
183,2010-01-06,,0.01,
183,2010-01-07,,0.01,
183,2010-01-08,,0.01,
183,2010-01-11,,0.01,
183,2010-01-12,,0.01,
183,2010-01-13,,0.01,
183,2010-01-14,,0.01,0.01
183,2010-01-15,,0.01,0.01
183,2010-01-18,,0.01,0.01
183,2010-01-19,,0.01,0.01
183,2010-01-21,,0.01,0.01
183,2010-01-26,,0.01,0.01
183,2010-01-27,,0.01,0.01
183,2010-02-01,,0.01,0.01
183,2010-02-02,,0.01,0.01
183,2010-02-04,,0.01,0.01
183,2010-02-05,,0.01,0.01
183,2010-02-08,0.0,0.01,0.01
183,2010-02-09,0.0,0.01,0.01
183,2010-02-10,0.0,0.01,0.01
183,2010-02-11,0.0,0.01,0.01
183,2010-03-08,0.0,0.01,0.01
183,2010-03-31,0.0,0.01,0.01
183,2010-04-20,0.0,0.01,0.01
183,2010-04-21,0.0,0.01,0.01
183,2010-04-22,0.0,0.01,0.01
183,2010-04-29,0.0,0.01,0.01
183,2010-04-30,0.0,0.01,0.01
183,2010-05-04,0.0,0.01,0.01
183,2010-05-05,0.0,0.01,0.01
183,2010-05-13,0.0,0.01,0.01
183,2010-05-14,0.0,0.01,0.01
183,2010-05-17,0.0,0.01,0.01
183,2010-05-18,0.0,0.01,0.01
183,2010-05-19,0.0,0.01,0.01
183,2010-05-20,0.0,0.01,0.01
183,2010-05-21,0.0,0.01,0.01
183,2010-05-24,0.0,0.01,0.01
183,2010-05-25,0.0,0.01,0.01
183,2010-05-26,0.0,0.01,0.01
183,2010-05-27,0.0,0.01,0.01
183,2010-05-28,0.0,0.01,0.01
183,2010-05-31,0.0,0.01,0.01
183,2010-06-01,0.0,0.01,0.01
183,2010-06-02,0.0,0.01,0.01
183,2010-06-03,0.0,0.01,0.01
183,2010-06-04,0.0,0.01,0.01
183,2010-06-07,0.0,0.01,0.01
183,2010-06-08,0.0,0.01,0.01
183,2010-06-09,0.0,0.01,0.01
183,2010-06-10,0.0,0.01,0.01
183,2010-06-11,0.0,0.01,0.01
183,2010-06-15,0.0,0.01,0.01
183,2010-06-16,0.0,0.01,0.01
183,2010-06-21,0.0,0.01,0.01
183,2010-06-22,0.0,0.01,0.01
183,2010-06-23,0.0,0.01,0.01
183,2010-06-24,0.0,0.01,0.01
183,2010-06-28,0.0,0.01,0.01
183,2010-06-29,0.0,0.01,0.01
183,2010-07-01,0.0,0.01,0.01
183,2010-07-02,0.0,0.01,0.01
183,2010-07-06,0.0,0.01,0.01
183,2010-07-07,0.0,0.01,0.01
183,2010-07-09,0.0,0.01,0.01
183,2010-07-13,0.0,0.01,0.01
